"lineage"	"sel_coeff"	"low_CI"	"high_CI"	"size"	"region"
"XBB.2*"	0.05225309	0.04695	0.05755	284	"Canada"
"XBB.2*"	0.0521964	0.04163	0.06276	83	"Alberta"
"XBB.1.9.1"	0.05185988	0.02191	0.08181	30	"British Columbia"
"XBB.1.5.37"	0.05175348	0.04159	0.06192	73	"Canada"
"XBB.1.9.2*"	0.051476	0.04699	0.05596	399	"Canada"
"XBB.1.5.26.1*"	0.05137538	0.02432	0.07843	13	"Quebec"
"XBB.1.5.26.1.1*"	0.05137538	0.02432	0.07843	13	"Quebec"
"FK.1.1"	0.05133769	0.01194	0.09074	17	"British Columbia"
"FK.1*"	0.05133769	0.01194	0.09074	17	"British Columbia"
"FL.3"	0.05127824	0.03299	0.06957	22	"Canada"
"XBB.1.9.2"	0.05126335	0.04434	0.05818	158	"Canada"
"XBB.1.16*"	0.05094496	0.0304	0.07149	37	"Nova Scotia"
"EU.1.1"	0.05085334	0.03792	0.06379	44	"Canada"
"EG.1"	0.05068197	0.03699	0.06437	51	"Quebec"
"XBB.2.3"	0.05059011	0.01155	0.08963	17	"British Columbia"
"XBB.1.16"	0.05017153	-0.03965	0.13999	28	"Nova Scotia"
"FD.1.1"	0.05014638	0.03859	0.0617	54	"Ontario"
"XBB.1.5.15.1*"	0.05014638	0.03859	0.0617	54	"Ontario"
"XBB.1.5.26.1*"	0.05011835	0.03806	0.06218	50	"Canada"
"XBB.1.5.26.1.1*"	0.04995821	0.0378	0.06212	49	"Canada"
"XBB.1.9.2"	0.04938619	0.03987	0.0589	79	"Ontario"
"FL.3.1"	0.04867282	0.02951	0.06783	19	"Canada"
"XBB.1.9.2.1*"	0.04858345	0.02549	0.07168	14	"Alberta"
"XBB.2.3"	0.04850722	0.02893	0.06809	20	"Alberta"
"XBB.2.3"	0.04764077	0.02987	0.06541	21	"Ontario"
"XBB.1.5.1"	0.04735648	0.03703	0.05768	82	"Alberta"
"EG.1.3"	0.04685767	0.03445	0.05926	44	"Canada"
"XBB.1.9.1.3*"	0.04660522	0.03448	0.05873	46	"Canada"
"XBB.2*"	0.04592625	0.01403	0.07782	24	"British Columbia"
"XBB.1.5.26*"	0.04546634	0.03549	0.05545	67	"Canada"
"XBB.1.22.1*"	0.04515902	0.02435	0.06597	15	"Canada"
"XBB.1.16.1*"	0.04448016	0.02712	0.06184	24	"Alberta"
